구역별,연도,65세이상 인구수,인구밀도
합계,2016,25063.0,112.71
합계,2017,25940.0,113.31
합계,2018,26844.0,114.2
합계,2019,27672.0,115.01
합계,2020,28871.0,114.09
금호읍,2016,3106.0,236.19
금호읍,2017,3193.0,229.78
금호읍,2018,3307.0,228.17
금호읍,2019,3415.0,227.12
금호읍,2020,3569.0,223.63
청통면,2016,1406.0,66.34
청통면,2017,1457.0,66.06
청통면,2018,1516.0,65.99
청통면,2019,1579.0,66.5
청통면,2020,1657.0,64.41
신녕면,2016,1459.0,52.19
신녕면,2017,1486.0,56.67
신녕면,2018,1541.0,56.07
신녕면,2019,1572.0,54.76
신녕면,2020,1647.0,53.61
화산면,2016,1312.0,62.76
화산면,2017,1351.0,62.19
화산면,2018,1385.0,64.74
화산면,2019,1402.0,63.4
화산면,2020,1468.0,62.96
화북면,2016,877.0,24.8
화북면,2017,893.0,24.21
화북면,2018,938.0,25.9
화북면,2019,938.0,25.5
화북면,2020,964.0,25.54
화남면,2016,1239.0,41.51
화남면,2017,1251.0,40.87
화남면,2018,1248.0,39.92
화남면,2019,1305.0,39.96
화남면,2020,1352.0,40.07
자양면,2016,507.0,13.28
자양면,2017,524.0,13.01
자양면,2018,523.0,13.41
자양면,2019,512.0,13.42
자양면,2020,524.0,13.82
임고면,2016,1693.0,50.12
임고면,2017,1714.0,49.75
임고면,2018,1768.0,49.93
임고면,2019,1805.0,50.09
임고면,2020,1900.0,49.18
고경면,2016,1928.0,49.35
고경면,2017,1973.0,50.27
고경면,2018,1967.0,51.45
고경면,2019,2022.0,53.36
고경면,2020,2087.0,50.18
북안면,2016,1769.0,66.1
북안면,2017,1812.0,65.37
북안면,2018,1873.0,64.84
북안면,2019,1911.0,64.67
북안면,2020,1970.0,64.4
대창면,2016,1091.0,69.19
대창면,2017,1122.0,68.34
대창면,2018,1152.0,66.69
대창면,2019,1174.0,67.4
대창면,2020,1256.0,66.93
동부동,2016,3385.0,2760.74
동부동,2017,3709.0,2906.79
동부동,2018,3946.0,2880.49
동부동,2019,4153.0,2844.11
동부동,2020,4415.0,2778.42
중앙동,2016,1578.0,458.71
중앙동,2017,1616.0,436.16
중앙동,2018,1661.0,434.76
중앙동,2019,1720.0,429.58
중앙동,2020,1797.0,476.4
서부동,2016,1404.0,350.13
서부동,2017,1442.0,340.41
서부동,2018,1462.0,332.58
서부동,2019,1496.0,329.96
서부동,2020,1517.0,322.62
완산동,2016,1189.0,919.53
완산동,2017,1250.0,912.03
완산동,2018,1376.0,1116.81
완산동,2019,1471.0,1387.13
완산동,2020,1546.0,1389.55
남부동,2016,1120.0,182.09
남부동,2017,1147.0,174.68
남부동,2018,1181.0,176.67
남부동,2019,1197.0,172.42
남부동,2020,1202.0,167.85
