"읍면동별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"읍면동별(1)",세대수 (세대),인구 (명),인구 (명),인구 (명),인구 (명),인구 (명),인구 (명),인구 (명),인구 (명),인구 (명),세대당인구 (명),65세 이상 고령자 (명),평균연령 (세),인구밀도 (명/㎢),인구밀도 (명/㎢)
"읍면동별(1)",소계,소계,남,여,한국인,한국인,한국인,외국인,외국인,외국인,소계,소계,소계,소계,면적 (㎢)
"읍면동별(1)",소계,소계,소계,소계,소계,남,여,소계,남,여,소계,소계,소계,소계,소계
"합계",51861,104875,53861,51014,102015,51812,50203,2860,2049,811,2.0,28871,49.5,114.09,919.20
"금호읍",6235,11506,6142,5364,11088,5815,5273,418,327,91,1.8,3569,52.9,223.63,51.45
"청통면",2330,4340,2322,2018,4161,2165,1996,179,157,22,1.9,1657,55.9,64.41,67.38
"신녕면",2313,4348,2201,2147,3919,1921,1998,429,280,149,1.9,1647,53.1,53.61,81.10
"화산면",1814,3359,1774,1585,3296,1722,1574,63,52,11,1.9,1468,59.5,62.96,53.35
"화북면",1303,2227,1102,1125,2213,1094,1119,14,8,6,1.7,964,59.6,25.54,87.21
"화남면",1810,3183,1630,1553,3138,1600,1538,45,30,15,1.8,1352,59.1,40.07,79.43
"자양면",754,1236,615,621,1230,613,617,6,2,4,1.6,524,61.6,13.82,89.41
"임고면",2328,4337,2218,2119,4242,2152,2090,95,66,29,1.9,1900,58.4,49.18,88.18
"고경면",3511,6050,3376,2674,5874,3221,2653,176,155,21,1.7,2087,50.7,50.18,120.57
"북안면",2565,4583,2396,2187,4448,2291,2157,135,105,30,1.8,1970,58.6,64.40,71.16
"대창면",1794,3408,1920,1488,3096,1640,1456,312,280,32,1.9,1256,54.7,66.93,50.92
"동부동",12078,29868,14728,15140,29438,14528,14910,430,200,230,2.5,4415,42.5,2778.42,10.75
"중앙동",4632,9933,4940,4993,9844,4905,4939,89,35,54,2.1,1797,45.1,476.40,20.85
"서부동",2689,4878,2422,2456,4831,2393,2438,47,29,18,1.8,1517,51.8,322.62,15.12
"완산동",3293,7045,3494,3551,6963,3469,3494,82,25,57,2.1,1546,45.4,1389.55,5.07
"남부동",2412,4574,2581,1993,4234,2283,1951,340,298,42,1.9,1202,48.3,167.85,27.25
